        tauB              sizeBin_x            sizeBin_y            clust_size               r                  all_XX               all_YY               all_XY               all_YX             all_press           all_num_dens             A_XX                 A_YY                 A_XY                 A_YX               A_press             A_num_dens              B_XX                 B_YY                 B_XY                 B_YX               B_press             B_num_dens     
    0.000000000          5.016308000          5.016308000             30433             3.045615242        204061.539834181     205339.260796326     -1032.752922624      -1032.752922624       7024.553829093        2.024659821        73459.741615178      78555.641017439      -2318.380631890      -2318.380631890       2608.300317216        0.789274168        130601.798219003     126783.619778887      1285.627709266       1285.627709266       4416.253511877        1.235385654     
    0.000000000          5.016308000          5.016308000             30433             6.091230483        589123.228972892     597328.554544841     -3982.449056705      -3982.449056705       6785.766259786        1.967466041        191047.344365816     198167.653821567     -5115.261844386      -5115.261844386       2226.067708097        0.652009095        398075.884607076     399160.900723274      1132.812787682       1132.812787682       4559.698551689        1.315456946     
    0.000000000          5.016308000          5.016308000             30433             9.136845725        961933.393130820     988932.008527002     -14916.055329322     -14916.055329322      6694.642026179        1.969753792        341002.315258945     352362.167611673     -2897.233930749      -2897.233930749       2379.368152483        0.700051870        620931.077871875     636569.840915329     -12018.821398573     -12018.821398573      4315.273873696        1.269701922     
    0.000000000          5.016308000          5.016308000             30433             12.182460967      1382529.606860108    1412708.785143023     -23327.282362385     -23327.282362385      6851.582158795        1.990343553        537730.673922969     544535.080532617      332.400440294        332.400440294        2652.808703371        0.764762548        844798.932937139     868173.704610406     -23659.682802679     -23659.682802679      4198.773455424        1.225581006     
    0.000000000          5.016308000          5.016308000             30433             15.228076208      1776406.882476381    1778980.062340580     -20571.558469326     -20571.558469326      6778.200655597        1.975091878        563965.291088943     549022.265998000     -5279.868730963      -5279.868730963       2121.865525809        0.617692827       1212441.591387438    1229957.796342581     -15291.689738363     -15291.689738363      4656.335129788        1.357399052     
    0.000000000          5.016308000          5.016308000             30433             18.273691450      2126730.937565835    2174294.838894863     -42799.041852486     -42799.041852486      6708.870631628        1.962266606        768120.044402274     790056.975970004     -19221.263017046     -19221.263017046      2430.491839427        0.720641631       1358610.893163561    1384237.862924859     -23577.778835441     -23577.778835441      4278.378792201        1.241624975     
    0.000000000          5.016308000          5.016308000             30433             21.319306691      2559327.209764532    2605395.865152026     -30481.386294399     -30481.386294399      6816.693153701        2.003542118        873691.303724326     894138.651146953     -2798.791200407      -2798.791200407       2333.281799523        0.686325363       1685635.906040205    1711257.214005073     -27682.595093993     -27682.595093993      4483.411354178        1.317216755     
    0.000000000          5.016308000          5.016308000             30433             24.364921933      2883768.044909871    2925837.639980581     -54100.757343408     -54100.757343408      6645.466218999        1.953739534        950487.819884942     965457.867654079     -16452.221867908     -16452.221867908      2191.603532937        0.647433593       1933280.225024929    1960379.772326502     -37648.535475500     -37648.535475500      4453.862686062        1.306305941     
    0.000000000          5.016308000          5.016308000             30433             27.410537175      3315689.700104875    3394066.328982164     -58470.412062690     -58470.412062690      6772.170210682        1.972176117       1129479.048443947    1170654.821501188     -23101.281730328     -23101.281730328      2321.529725834        0.674213739       2186210.651660929    2223411.507480976     -35369.130332362     -35369.130332362      4450.640484847        1.297962378     
    0.000000000          5.016308000          5.016308000             30433             30.456152416      3703810.677964159    3771101.554613863     -65649.895362351     -65649.895362351      6750.291911165        1.979506837       1326201.197496488    1349741.502578494     -29671.479386881     -29671.479386881      2416.535980761        0.713417154       2377609.480467672    2421360.052035370     -35978.415975469     -35978.415975469      4333.755930404        1.266089683     
